Id,Name
IWZ9A807,Avery Wilson
IWZ9EUC6,Migos
IWZ9Z09D,Cao Thái Sơn
IWZ97Z8D,Saka Trương Tuyền
IWZAIIUC,Lê Trọng Hiếu
IWZ98IZ8,Giáng Tiên
IWZ9ZO7U,Lương Gia Huy
IWZ9ZI7W,Lương Bích Hữu
IWZ990I9,Tam Hổ
IWZ98O7W,Phan Mạnh Quỳnh
IWZ968UO,Hồ Quang Hiếu
IWZ9CD8B,Lương Khánh Vy
IWZ96C8U,Văn Mai Hương
IWZ97DB0,Sơn Tùng M-TP
IWZ96C86,Bích Phương
IWZ9ZECF,Phạm Trưởng
IWZ9ZCE7,Wanbi Tuấn Anh
IWZ9FE6A,Vương Anh Tú
IWZ9ZW66,Hiền Thục
IWZ9CO86,Anh Quân Idol
IWZ99A86,Trúc Nhân
IWZ9EDAE,Trương Thảo Nhi
IWZ99B00,Bảo Anh
IWZ97D7C,Hoài Lâm
IWZ9ZOE6,Hương Thủy
IWZ9ZOBC,Quang Lê
IWZ9DUBF,Phương Diễm Hạnh
IWZ9ZWA7,Như Quỳnh
IWZ9ZIEE,Trường Vũ
IWZ9D9BE,Lý Duy Vũ
IWZ9Z0F0,Cẩm Ly
IWZ9ZOUE,Hoài Linh
IWZ9ZUII,Mạnh Đình
IWZ9ZWUO,Mạnh Quỳnh
IWZ9ZIBU,Bảo Yến
IWZ9ZO6F,Hương Lan
IWZ97CD7,Vi Thảo
IWZ9Z977,Đông Đào
IWZ9ZWAW,Nguyễn Hưng
IWZ9ZOEI,Hà Phương
IWZ9ZOZA,Dương Ngọc Thái
IWZ9ZUDU,Ngọc Tuyền
IWZ9Z8OO,Hạ Vy
IWZ9Z0EU,Lệ Quyên
IWZ9ZB6O,Mai Thiên Vân
IWZ9ZWBO,Ý Lan
IWZAZBZW,Hoàng Oanh
IWZ9B78U,Degauss
IWZ968WF,Crazy Frog
2f0166f6-9c36-11e5-a8e8-001eecc1ca2a,O-Zone
IWZ9Z9DO,Las Ketchup
IWZ9Z6DZ,Kylie Minogue
IWZ9B76A,Mabel
IWZ96UBE,Vengaboys
IWZ9DOOC,Fat Boy Slim
IWZ9Z6FA,Eiffel 65
IWZ96AAZ,Toy-Box
IWZ9ZZD8,Aqua
IWZ99WF8,Dream House
IWZ9ZC7C,Spice Girls
IWZ9ZO8A,Backstreet Boys
IWZ96EOO,Los del Río
IWZ96UB7,2 Unlimited
IWZ99WFU,Kaoma
IWZ9ZA68,Michael Jackson
IWZ9ZUAC,Boney M
IWZ9Z8A6,Various Artists
IWZ98BIC,Phạm Bảo Nam
IWZ98WBU,LEG
IWZ9ZOCD,Lady Gaga
IWZ96ODZ,Ricky J
IWZ9ZOC7,Enrique Iglesias
IWZ9ZEIF,Pitbull
IWZ96IC8,Cascada
IWZ9ZAW9,Orange Caramel
IWZ9ZZ98,Ciara
IWZ99WFO,Ann Winsborn
IWZ9ZW8F,F(x)
IWZ98Z88,B.A.P
IWZ9Z70O,SeungRi
IWZ989ZB,BTOB
IWZ96UE0,Girl's Day
IWZ9ZWII,BIGBANG
IWZ99AED,AOA
IWZ986AA,Exid
IWZ96E0D,Dok2
IWZ9ZWIA,2NE1
IWZ9ZOIB,G-Dragon
IWZ9DB6E,BTS (Bangtan Boys)
7e85e9ee-9c36-11e5-98d7-001eecc1ca2a,Amber (F(x))
IWZ96WU7,Taeyeon
IWZAWB0B,Red Velvet
IWZ9ZZC6,SNSD
IWZ9ZZAU,SHINee
IWZ9ZWOZ,Brown Eyed Girls
IWZ9ZA78,Hyuna
IWZ9Z6FO,T-ARA
IWZ9ZUFW,Tae Yang
IWZ98OO7,Trouble Maker
IWZ98Z89,EXO
IWZ98796,The Weeknd
IWZ9ZEWA,The Script
IWZ9ZEA7,Will.i.am
IWZ96IFA,Ellie Goulding
IWZ9A7UE,Imagine Dragons
a520357a-9c36-11e5-a591-001eecc1ca2a,Clean Bandit
IWZA0E8C,Jess Glynne
IWZAI976,MAGIC!
IWZAUDZD,Fetty Wap
IWZ9ZZDO,Coldplay
IWZ96W98,Jason Derulo
IWZ9D67E,Sam Smith
IWZ9ZOIC,Avril Lavigne
IWZ9ZZU7,Chad Kroeger
IWZ9ZOI8,Justin Timberlake
IWZ98I89,Naughty Boy
IWZ9E98Z,A Great Big World
IWZ9ZOCB,Christina Aguilera
IWZ96ZZ7,Bruno Mars
IWZ9Z898,John Legend
IWZ9Z0D8,Adam Levine
IWZ97D8A,Ed Sheeran
IWZ9EFBB,DJ Snake
IWZ99W0C,AlunaGeorge
IWZ9F67Z,Martin Garrix
c2f26bec-9c36-11e5-b1e7-001eecc1ca2a,MOTi
IWZ9ZZ0B,Calvin Harris
IWZ9ZOZ6,Flo Rida
IWZ9EDOW,Sage The Gemini
IWZAO6O6,Lookas
IWZ9ZOD8,Lil Jon
IWZAZIUU,Lost Frequencies
c6c30662-9c36-11e5-8e30-001eecc1ca2a,Janieck Devy
IWZ99OAA,Hardwell
IWZ97DFI,Chris Jones
IWZAUFDE,Robin Schulz
c8779bf6-9c36-11e5-adb2-001eecc1ca2a,Francesco Yates
IWZ96A67,Avicii
IWZ9ZO97,Demi Lovato
IWZ9ZO9Z,Selena Gomez
IWZAZUI0,Rachel Platten
IWZ97A9F,Sia
IWZAUZOO,Kygo
d5a46658-9c36-11e5-8711-001eecc1ca2a,Will Heard
d60aa83e-9c36-11e5-9a79-001eecc1ca2a,Conrad
d8166dba-9c36-11e5-b261-001eecc1ca2a,Parson James
IWZAWOBZ,Ella Henderson
IWZ98ABB,Ariana Grande
IWZ99A9C,Iggy Azalea
IWZ9FI60,Ty Dolla $ign
IWZ9Z7EZ,Jagged Edge
IWZ96I89,Babyface
IWZ96UBI,Trey Songz
eb609a0a-9c36-11e5-a5cd-001eecc1ca2a,Sevyn Streeter
ec1696c8-9c36-11e5-a43a-001eecc1ca2a,Big TC
ec2ad2be-9c36-11e5-9b3e-001eecc1ca2a,D-Loc
