Id,Title,Total play,Artists,Genres
ZW7WEZD6,Change My Mind,256,IWZ9A807;IWZ9EUC6,IWZ9Z08O;IWZ9Z097;IWZ9Z09B
ZW6CIZ69,Yêu Em Là Định Mệnh,12289847,IWZ9Z09D,IWZ9Z08I;IWZ9Z088
ZWZBDD09,Yêu Đơn Phương,15372034,IWZ97Z8D,IWZ9Z08I;IWZ9Z088
ZW6CIC0E,Vô Hậu,6370304,IWZAIIUC,IWZ9Z08I;IWZ9Z088
ZWZDEE0C,Trách Ai Vô Tình,15545326,IWZ98IZ8,IWZ9Z08I;IWZ9Z088;IWZ9Z08B
ZWZB98CC,Tình Yêu Trong Sáng,5569835,IWZ9ZO7U;IWZ97Z8D,IWZ9Z08I;IWZ9Z088
ZW607CCF,Quên Cách Yêu,37643367,IWZ9ZI7W,IWZ9Z08I;IWZ9Z088
ZW6BUA0A,Nước Mắt Không Màu,5271275,IWZ990I9,IWZ9Z08I;IWZ9Z088
ZW6WEZ0A,Nơi Ấy Con Tìm Về,3157457,IWZ98O7W,IWZ9Z08I;IWZ9Z088
ZW68FU0A,Nợ Nhau Một Tình Yêu,5394912,IWZ968UO;IWZ9CD8B,IWZ9Z08I;IWZ9Z088
ZWZC7FFA,Nếu Như Anh Đến,28473481,IWZ96C8U,IWZ9Z08I;IWZ9Z088
ZW67A09F,Nắng Ấm Xa Dần,105888607,IWZ97DB0,IWZ9Z08I;IWZ9Z088;IWZ9Z089
ZW6A796B,Mình Yêu Nhau Đi,87703395,IWZ96C86,IWZ9Z08I;IWZ9Z088
ZW6BOW99,Lạc Đường,29995933,IWZ9ZECF,IWZ9Z08I;IWZ9Z088
ZW6ZWIOC,Học Cách Đi Một Mình,29437775,IWZ9ZI7W,IWZ9Z08I;IWZ9Z088
ZWZCEIOE,Hóa Cơn Mưa,1455293,IWZ9ZCE7,IWZ9Z08I;IWZ9Z088
ZW69OOFZ,Giúp Anh Trả Lời Những Câu Hỏi,44345988,IWZ9FE6A,IWZ9Z08I;IWZ9Z088
ZW69BZOF,Em Của Ngày Hôm Qua,192443240,IWZ97DB0,IWZ9Z08I;IWZ9Z088
ZW67EZCI,Đứt Từng Đọan Ruột,14525104,IWZ9ZI7W,IWZ9Z08I;IWZ9Z08D
ZW696EO9,Con Bướm Xuân,4088046,IWZ9ZW66,IWZ9Z08I;IWZ9Z088;IWZ9Z0CW
ZW6BCBIE,Có Anh Ở Đây Rồi,67906187,IWZ9CO86,IWZ9Z08I;IWZ9Z088
ZW6BFZUA,Bốn Chữ Lắm,35300546,IWZ99A86;IWZ9EDAE,IWZ9Z08I;IWZ9Z088
ZW67D7I0,Anh Muốn Em Sống Sao,50030778,IWZ99B00,IWZ9Z08I;IWZ9Z088
ZW6AC6OO,Anh Muốn Chia Tay Phải Không,21475075,IWZ9ZI7W,IWZ9Z08I;IWZ9Z088
ZW7I0ZWA,Cô Bé Ngày Xưa,14450167,IWZ97D7C,IWZ9Z08I;IWZ9Z08B
ZWZDZU89,Nếu Hai Đứa Mình,213209,IWZ9ZOE6,IWZ9Z08I;IWZ9Z08D
ZWZ97WUW,Đừng Nhắc Chuyện Lòng,1315278,IWZ9ZOBC,IWZ9Z08I;IWZ9Z08D
ZW66DO76,Hạ Buồn,78208,IWZ9DUBF,IWZ9Z08I;IWZ9Z08D
ZWZ96OZF,Lạnh Trọn Đêm Mưa,138650,IWZ9ZWA7,IWZ9Z08B;IWZ9Z08I
ZW6UBUWA,Nhật Ký Đời Tôi,1640364,IWZ9ZIEE,IWZ9Z08I;IWZ9Z08B
ZWZ986I8,LK Làm Dâu Xứ Lạ & Năm 17 Tuổi,496578,IWZ9ZWA7;IWZ9D9BE,IWZ9Z08I;IWZ9Z08D
ZWZ97I9I,Trai Tài Gái Sắc,4070727,IWZ9Z0F0;IWZ9ZOUE,IWZ9Z08I;IWZ9Z08B
ZWZ978WI,Qua Cầu Gió Bay,90072,IWZ9ZUII;IWZ9ZWA7,IWZ9Z08B;IWZ9Z08I;IWZ9Z08D
ZWZ98Z0O,Mưa Đêm Tỉnh Nhỏ,6939943,IWZ9ZOBC,IWZ9Z08I;IWZ9Z08B
ZWZDZO7U,Chuyện Hợp Tan,34149,IWZ9ZWUO,IWZ9Z08I;IWZ9Z08B
